STT,Nhom giai phap,Ten module,Muc tieu,Mo ta chuc nang chi tiet,Input du lieu can co,Output/Ket qua,Pham vi trien khai,Chi phi setup de xuat,Phi hang thang de xuat,Thoi gian trien khai,Uu tien,Ghi chu
1,Ho tro ban hang,AI Customer Care Agent,Giam tai CSKH va phan hoi 24/7,"Chatbot AI tren website/kenh chat; tra loi cau hoi thuong gap; tu van thong tin san pham/chinh sach; phan loai nhu cau khach hang; thu lead; chuyen nguoi that khi can; luu lich su hoi thoai.","FAQ; chinh sach giao hang/doi tra/bao hanh; danh sach san pham; thong tin lien he; kich ban CSKH.","Hoi thoai tu dong; lead moi; giam luong inbox lap lai; tang toc do phan hoi.","Website chatbot; knowledge base; lead form; dashboard co ban.",15000000,3000000,2-4 tuan,Uu tien 1,"Chua bao gom Zalo/Messenger neu khong yeu cau them."
2,Ho tro ban hang,AI Sales Consultant Agent,Tang ty le chot don bang tu van san pham thong minh,"Phan tich nhu cau khach; goi y san pham phu hop; so sanh san pham; de xuat upsell/cross-sell; gui link san pham; hoi them ngan sach, dien tich, nhu cau su dung; khuyen khich de lai so dien thoai de tu van.","Danh sach san pham; gia; thuoc tinh san pham; ton kho co ban; danh muc; du lieu nhu cau khach hang.","Goi y 3-5 san pham phu hop; tang chat luong tu van; tang co hoi chot sale.","Website chatbot; product database; logic tim kiem san pham; product suggestion.",20000000,5000000,3-5 tuan,Uu tien 2,"Phu hop website thuong mai dien tu/ban le/co catalog san pham."
3,Ho tro ban hang,AI Sales Automation Agent,Tu dong hoa quy trinh ban hang va follow-up lead,"Quan ly pipeline lead; tu dong gan trang thai lead; nhac lich follow-up; gui email/Zalo/Messenger nuoi duong lead; dong bo lich su cham soc vao CRM; canh bao lead nong cho nhan vien.","CRM; danh sach lead; email system; kenh cham soc; quy trinh sales hien tai.","Lead duoc phan loai; lead khong bi bo sot; tang toc do xu ly va follow-up.","CRM integration; automation workflow; lead scoring co ban.",25000000,6000000,4-6 tuan,Uu tien 3,"Can API hoac kha nang tich hop voi CRM/kenh lien lac hien tai."
4,Ho tro marketing,AI Marketing Assistant Agent,Ho tro doi marketing san xuat noi dung nhanh hon va toi uu hon,"Tao bai viet marketing; viet email campaign; goi y noi dung landing page; tao prompt cho video/image; ho tro y tuong chay ads; phan tich thong diep theo doi tuong muc tieu.","Brand guideline; thong tin san pham; chan dung khach hang; muc tieu chien dich.","Noi dung marketing nhanh hon; giam thoi gian san xuat; tang toc do ra chien dich.","Prompt library; content workflow; API AI neu can.",18000000,4000000,2-4 tuan,Uu tien 2,"Khong bao gom dich vu media buying neu khong co pham vi rieng."
5,Ho tro marketing,AI Marketing Optimization Module,Toi uu hieu qua chien dich marketing dua tren du lieu,"Phan tich CPC/CPA/ROI; de xuat toi uu ngan sach; goi y doi tuong quang cao; theo doi hieu qua noi dung; goi y dieu chinh chien dich marketing automation.","Du lieu quang cao; pixel/analytics; email performance; social metrics.","Bao cao toi uu; de xuat dieu chinh chien dich; tang hieu qua su dung ngan sach.","Marketing analytics; dashboard; de xuat toi uu.",22000000,5000000,3-5 tuan,Uu tien 3,"Can quyen truy cap nguon du lieu marketing."
6,Ho tro quan ly van hanh va phan tich du lieu,AI Data Intelligence Agent,Tong hop du lieu doanh nghiep de ho tro ra quyet dinh,"Tong hop doanh thu/don hang; dashboard co ban; phan tich hanh vi mua hang; thong ke tan suat mua; ho so khach hang 360 do; ket noi Sales/Marketing/CSKH.","CRM; website; marketing data; sales data; ERP/Data warehouse neu co.","Dashboard tong hop; insight ve khach hang; ho tro ra quyet dinh nhanh hon.","Dashboard; data pipeline co ban; bao cao tong hop.",30000000,8000000,4-8 tuan,Uu tien 4,"Can nguon du lieu on dinh va duoc cap quyen truy cap."
7,Ho tro quan ly van hanh va phan tich du lieu,AI Business Prediction Agent,Du bao xu huong kinh doanh va goi y chien luoc,"Du bao doanh thu thang/quy; du doan nhu cau thi truong; goi y san pham nen day manh; goi y thi truong/phan khuc nen mo rong; canh bao som bien dong kinh doanh.","Du lieu lich su kinh doanh; doanh thu; san pham; xu huong thi truong; kho du lieu.","Bao cao du bao; canh bao xu huong; ho tro lap ke hoach kinh doanh.","Forecasting model; dashboard; bao cao chien luoc.",40000000,10000000,6-10 tuan,Uu tien 5,"Phu hop doanh nghiep da co du lieu lich su kha day du."
8,Dong goi thuong mai,Starter Package,Giai phap MVP de doanh nghiep bat dau nhanh,"Gom chatbot website, FAQ/knowledge base, thu lead, dashboard co ban, handoff cho nhan vien. Phu hop SME muon giam tai CSKH va co kenh tu van tu dong.","FAQ; san pham/chinh sach co ban; website.","Chatbot hoat dong tren website; co lead; co lich su trao doi.","1 website; 1 admin co ban; 1 nguon du lieu.",15000000,3000000,2-4 tuan,Uu tien 1,"Goi de ban de nhat va de demo nhat."
9,Dong goi thuong mai,Growth Package,Giai phap tang truong doanh thu va toi uu tu van,"Gom Starter + tu van san pham thong minh + product suggestion + lead automation co ban + dashboard tot hon. Phu hop doanh nghiep da co luong lead va muon tang ty le chot sale.","San pham; thuoc tinh san pham; quy trinh sales co ban; website.","Tang chat luong tu van; tang co hoi chot sale; giam bo sot lead.","Website + san pham + lead flow + admin nang cao.",35000000,8000000,4-6 tuan,Uu tien 2,"Rat hop voi website ban le/dien may/ecommerce."
10,Dong goi thuong mai,Enterprise Package,Giai phap tong the da kenh va du lieu cho doanh nghiep lon,"Gom Growth + CRM integration + marketing analytics + data intelligence + workflow automation + bao cao cho van hanh. Phu hop doanh nghiep can giai phap AI tong the.","Nhieu nguon du lieu; CRM; marketing; sales; CSKH.","He thong AI ho tro nhieu phong ban; bao cao tong hop; workflow lien phong ban.","Multi-channel; CRM; dashboard; automation nang cao.",80000000,20000000,8-12 tuan,Uu tien 3,"Bao gia tuy bien theo pham vi va muc tich hop."
